aalib 1.4rc5-13
popt 1.16-10
portaudio 190600_20161030-2
postgresql-libs 11.1-2
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pygobject-devel 3.30.4-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.1-1
python-anytree 2.4.3-2
python-appdirs 1.4.3-2
python-astroid 2.1.0-1
python-atspi 2.30.0-1
python-cached-property 1.5.1-1
python-cairo 1.18.0-1
python-chardet 3.0.4-2
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-decorator 4.3.0-2
python-docker 3.6.0-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-3
python-docopt 0.6.2-5
python-gobject 3.30.4-1
python-idna 2.8-1
python-isort 4.3.4-2
python-jedi 0.13.2-1
python-jsonschema 2.6.0-3
python-lazy-object-proxy 1.3.1-2
python-lxml 4.2.5-1
python-mccabe 0.6.1-2
python-packaging 18.0-1
python-parso 0.3.1-2
python-pexpect 4.6.0-2
python-pickleshare 0.7.5-1
python-prompt_toolkit 2.0.7-1
python-ptyprocess 0.6.0-2
python-pycodestyle 2.4.0-2
python-pyflakes 2.0.0-2
python-pygments 2.3.1-1
python-pylint 2.2.2-1
python-pyparsing 2.3.0-1
python-requests 2.20.1-1
python-setuptools 1:40.6.3-1
python-simplejson 3.16.1-1
python-six 1.12.0-1
python-texttable 1.5.0-1
python-traitlets 4.3.2-2
python-urllib3 1.24.1-1
python-wcwidth 0.1.7-3
python-websocket-client 0.54.0-1
python-wrapt 1.10.11-2
python-xdg 0.26-2
python-yaml 3.13-2
python2 2.7.15-2
python2-cairo 1.18.0-1
python2-gobject2 2.28.7-2
qemu 3.1.0-1
qpdf 8.2.1-1
quadrapassel 3.22.0+86+g4d059ac-1
ranger 1.9.2-1
raptor 2.0.15-10
rasqal 1:0.9.33-2
readline 7.0.005-1
redland 1:1.0.17-6
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-4
ruby 2.5.3-1
ruby-dbus 0.15.0-1
ruby-ffi 1.9.25-1
ruby-maruku 0.7.3-3
ruby-rb-inotify 0.9.10-2
ruby-rdoc 6.0.4-1
ruby-sass 3.6.0-1
ruby-sass-listen 4.0.0-5
ruby-yard 0.9.14-1
rubygems 2.7.7-1
run-parts 4.8.6-1
runc 1.0.0rc5+168+g079817cc-1
rust 1:1.31.1-1
rygel 0.36.2-1
s-nail 14.9.11-1
sbc 1.4-1
scala 2.12.7-1
scala-docs 2.12.7-1
sdl 1.2.15-10
sdl2 2.0.9-1
seabios 1.12.0-1
sed 4.7-1
shadow 4.6-1
shared-color-targets 0.1.7-2
shared-mime-info 1.10-1
smbclient 4.9.4-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
source-highlight 3.1.8-17
spandsp 0.0.6-2
speech-dispatcher 0.8.8-3
speex 1.2.0-2
speexdsp 1.2rc3-3
spice 0.14.0-2
spice-gtk 0.35-1
sqlite 3.26.0-1
srt 1.3.1-1
startup-notification 0.12-6
stoken-git v0.92.r4.c948387-1
sudo 1.8.26-2
sushi 3.30.0-2
swell-foop 3.30.0-1
sysfsutils 2.1.0-10
sysprof 3.30.2-1
systemd 239.370-1
systemd-sysvcompat 239.370-1
t1lib 5.1.2-7
taglib 1.11.1-2
tali 3.22.0-2
talloc 2.1.14-1
tar 1.30-2
task 2.5.1-2
tcl 8.6.9-2
tdb 1.3.16-1
telepathy-glib 0.24.1-2
telepathy-idle 0.2.0-2
telepathy-logger 0.8.2-3
telepathy-mission-control 5.16.4-3
tevent 1:0.9.37-1
texinfo 6.5-2
thin-provisioning-tools 0.7.6-1
timew 1.1.1-1
totem-plparser 3.26.1+2+gb7f36dd-1
tracker 2.1.6-2
tracker-miners 2.1.5-2
tree 1.8.0-1
twolame 0.3.13-8
tzdata 2018i-1
udisks2 2.8.1-1
unzip 6.0-13
upower 0.99.9-1
usbmuxd 1.1.0+48+g1cc8b34-2
usbredir 0.8.0-1
usbutils 010-1
util-linux 2.33-2
v4l-utils 1.16.3-1
vala 0.42.4-1
vde2 2.3.2-11
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.0570-1
vim-runtime 8.1.0570-1
vinagre 3.22.0+35+gadcb63c-1
vino 3.22.0+19+g15eb3c5-1
virglrenderer 0.7.0-1
volume_key 0.3.11-2
vte-common 0.54.3-1
vte3 0.54.3-1
vulkan-icd-loader 1.1.92+2999+abe5c2b3c-1
wavpack 5.1.0-2
wayland 1.16.0-1
wayland-protocols 1.17-1
webkit2gtk 2.22.5-1
